,Name,Market Cap,Category,MKC
BTC,Bitcoin,"$60,219,183,594",Category 1,60219183594
ETH,Ethereum,"$25,061,275,598",Category 1,25061275598
BCH,Bitcoin Cash,"$6,815,417,939",Category 1,6815417939
XRP,Ripple,"$6,646,329,833",Category 1,6646329833
DASH,Dash,"$2,607,960,913",Category 1,2607960913
LTC,Litecoin,"$2,562,271,606",Category 1,2562271606
XEM,NEM,"$1,880,775,000",Category 1,1880775000
MIOTA,IOTA,"$1,400,024,388",Category 1,1400024388
XMR,Monero,"$1,318,572,158",Category 1,1318572158
ETC,Ethereum Classic,"$980,752,344",Category 2,980752344
NEO,NEO,"$953,330,000",Category 2,953330000
BCC,BitConnect,"$742,161,368",Category 2,742161368
LSK,Lisk,"$660,697,505",Category 2,660697505
ZEC,Zcash,"$449,832,166",Category 3,449832166
STRAT,Stratis,"$389,138,472",Category 3,389138472
WAVES,Waves,"$377,436,000",Category 3,377436000
ARK,Ark,"$273,223,160",Category 3,273223160
STEEM,Steem,"$244,833,707",Category 3,244833707
BCN,Bytecoin,"$206,169,389",Category 3,206169389
DCR,Decred,"$187,452,105",Category 3,187452105
BTS,BitShares,"$181,015,326",Category 3,181015326
XLM,Stellar Lumens,"$178,986,094",Category 3,178986094
HSR,Hshare,"$166,544,448",Category 3,166544448
KMD,Komodo,"$164,652,221",Category 3,164652221
PIVX,PIVX,"$155,221,542",Category 3,155221542
FCT,Factom,"$137,200,156",Category 3,137200156
GBYTE,Byteball Bytes,"$123,838,607",Category 3,123838607
NXS,Nexus,"$114,368,857",Category 3,114368857
SC,Siacoin,"$114,053,002",Category 3,114053002
DGB,DigiByte,"$109,587,646",Category 3,109587646
BTCD,BitcoinDark,"$105,257,379",Category 3,105257379
GAME,GameCredits,"$95,689,716",Category 4,95689716
GXS,GXShares,"$88,573,495",Category 4,88573495
LKK,Lykke,"$86,893,637",Category 4,86893637
DOGE,Dogecoin,"$84,305,613",Category 4,84305613
BLOCK,Blocknet,"$83,012,539",Category 4,83012539
SYS,Syscoin,"$75,311,596",Category 4,75311596
XVG,Verge,"$71,456,664",Category 4,71456664
FRST,FirstCoin,"$62,294,317",Category 4,62294317
NXT,Nxt,"$58,863,274",Category 4,58863274
IOC,I-O Coin,"$55,776,049",Category 4,55776049
UBQ,Ubiq,"$53,128,777",Category 4,53128777
PART,Particl,"$53,125,035",Category 4,53125035
NAV,NAV Coin,"$50,847,062",Category 4,50847062
RISE,Rise,"$49,052,971",Category 5,49052971
VTC,Vertcoin,"$42,079,535",Category 5,42079535
BDL,Bitdeal,"$38,448,620",Category 5,38448620
FAIR,FairCoin,"$38,238,279",Category 5,38238279
ETP,Metaverse ETP,"$38,149,930",Category 5,38149930
NLG,Gulden,"$38,129,124",Category 5,38129124
XZC,ZCoin,"$36,413,644",Category 5,36413644
CLOAK,CloakCoin,"$33,893,251",Category 5,33893251
NLC2,NoLimitCoin,"$33,711,614",Category 5,33711614
XEL,Elastic,"$33,182,138",Category 5,33182138
PPC,Peercoin,"$31,185,065",Category 5,31185065
ADK,Aidos Kuneen,"$29,522,780",Category 5,29522780
RDD,ReddCoin,"$26,976,964",Category 5,26976964
LEO,LEOcoin,"$26,585,531",Category 5,26585531
XCP,Counterparty,"$25,010,000",Category 5,25010000
MONA,MonaCoin,"$24,507,300",Category 5,24507300
DCT,DECENT,"$24,255,415",Category 5,24255415
TCC,The ChampCoin,"$23,288,007",Category 5,23288007
VIA,Viacoin,"$23,186,663",Category 5,23186663
EMC,Emercoin,"$22,686,762",Category 5,22686762
CRW,Crown,"$21,689,002",Category 5,21689002
SPRTS,Sprouts,"$20,620,960",Category 5,20620960
ION,ION,"$20,409,426",Category 5,20409426
NMC,Namecoin,"$20,299,538",Category 5,20299538
CLAM,Clams,"$19,830,748",Category 5,19830748
BAY,BitBay,"$19,727,228",Category 5,19727228
OK,OKCash,"$18,962,711",Category 5,18962711
UNO,Unobtanium,"$18,496,843",Category 5,18496843
DMD,Diamond,"$17,492,702",Category 5,17492702
SKY,Skycoin,"$17,427,322",Category 5,17427322
MUE,MonetaryUnit,"$17,369,018",Category 5,17369018
SPR,SpreadCoin,"$17,360,473",Category 5,17360473
MOON,Mooncoin,"$17,069,057",Category 5,17069057
EXP,Expanse,"$16,496,380",Category 5,16496380
SIB,SIBCoin,"$15,517,334",Category 5,15517334
ZEN,ZenCash,"$15,231,092",Category 5,15231092
POT,PotCoin,"$14,722,522",Category 5,14722522
RADS,Radium,"$14,261,301",Category 5,14261301
BURST,Burst,"$14,199,244",Category 5,14199244
LBC,LBRY Credits,"$14,115,161",Category 5,14115161
SHIFT,Shift,"$13,822,484",Category 5,13822484
XDN,DigitalNote,"$13,657,846",Category 5,13657846
NEBL,Neblio,"$13,553,362",Category 5,13553362
EMC2,Einsteinium,"$13,232,583",Category 5,13232583
CMP,Compcoin,"$12,984,520",Category 5,12984520
OMNI,Omni,"$12,799,006",Category 5,12799006
ATCC,ATC Coin,"$12,751,674",Category 5,12751674
ENRG,Energycoin,"$12,526,103",Category 5,12526103
RBY,Rubycoin,"$12,519,449",Category 5,12519449
GAM,Gambit,"$12,437,419",Category 5,12437419
ECN,E-coin,"$12,348,031",Category 5,12348031
SLS,SaluS,"$12,276,886",Category 5,12276886
GRS,Groestlcoin,"$12,211,006",Category 5,12211006
BLK,BlackCoin,"$12,208,321",Category 5,12208321
GOLOS,Golos,"$11,820,678",Category 5,11820678
GRC,GridCoin,"$11,816,250",Category 5,11816250
